Comment,Description,Designator,Quantity,Man. Part Number

"Kemet T491A106K010AT","Cap Tant Solid 10uF 10V A CASE 10% (3.2 X 1.6 X 1.6mm) SMD 3216-18 3.8 Ohm 125C T/R","C1, C21, C24, C29, C31, C33, C36, C37","8",""
"KEMET C0603C105K8PACTU","Ceramic Multilayer Capacitor; Capacitor Type: General Purpose; Capacitance: 1µF; Capacitance Tolerance: ± 10%;...","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C25, C27, C32, C34, C35, C38","25",""
"TDK C1005X7R1E104M050BB","C Series 0402 0.1 uF 25 V ±20 % Tolerance X7R SMT Multilayer Ceramic Capacitor","C22, C23, C30","3",""
"Kemet C1210C335K3PACTU","CAP CER 3.3UF 25V 10% X5R 1210","C26, C28","2",""
"Lite-On LTST-C193KRKT-5A","2.3 V Red LED 1608 (0603) SMD, Lite-On LTST-C193KRKT-5A","D1, D2, D5, D8","4",""
"LTST-C193TGKT-5A","Green 280 mcd 3.1 V Water Clear Surface Mount Ultra Bright InGaN Chip LED","D3, D6","2",""
"Lite-On LTST-C193KSKT-5A","Yellow 1.6 x 0.8 x 0.35 mm 130° 45 mcd 2.3 V Clear Surface Mount Chip LED","D4, D7","2",""
"Vishay TDSR1360 DISPLAY","LED; 280 ucd (Min.) @ 1 mA; 650 nm (Typ.) @ 1 mA; 1.8 V (Typ.) @ 1 mA; 5 V;","DS1_$ChannelName","4",""
"TE Connectivity 1-215307-0","AMPMODU Series 10 Position Dual Row 2.54 mm Through Hole Receptacle","P1","1",""
"Molex 87831-1220","Conn Shrouded Header (4 Sides) HDR 12 POS 2mm Solder ST Top Entry Thru-Hole Milli-Grid™ Tube","P2","1",""
"Molex 43045-2012","Header 2 Row Vertical Polarizing Peg 20Pin SMT/Glow Wire Tin Plate Kinked Leads","P3","1",""
"TEC 5103310-1","Conn Shrouded Header (4 Sides) HDR 10 POS 2.54mm Solder RA Side Entry Thru-Hole Tube","P4","1",""
"Panasonic ECG ERJ-3EKF1002V","RES SMD 10K OHM 1% 1/10W 0603","R1, R2, R3, R4, R5, R6, R7, R8, R17, R18, R19, R20","12",""
"Panasonic ERJ-8GEYJ151V","Thick Film Resistors - SMD 1206 150ohms 5% Tolerance","R9, R10, R11, R12, R13, R14, R15, R16","8",""
"Vishay PLTT0805Z2500AGTS","Surface Mount Thin Film Resistor, PLTT Series, 250 ohm, 250 mW, - 0.05%, 100 V","R21_$ChannelName, R22_$ChannelName, R23_$ChannelName, R24_$ChannelName, R25_$ChannelName, R26_$ChannelName, R27_$ChannelName, R28_$ChannelName","32",""
"CRG0603F4K7","Res Thick Film 0603 4.7K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R","R29, R30, R31, R32, R33, R34","6",""
"Yageo RT0603BRB0710KL","Thin Film Resistors - SMD 1/10W 10K ohm .1% 10ppm","R35","1",""
"Yageo RC0805FR-072K2L","Res Thick Film 0805 2.2K Ohm 1% 0.125W(1/8W) 100ppm/ Molded SMD Paper T/R","R36, R37, R38, R39","4",""
"Yageo RC1210FR-0733RL","Thick Film Resistors - SMD 33 OHM 1%","R40, R41, R42, R43, R44, R45","6",""
"TE Connectivity CRG0805F2K2","Res Thick Film 0805 2.2K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R","R46, R49, R52, R53, R58, R59, R60, R61, R62","9",""
"Vishay Dale CRCW06034K42FKEA","RES SMD 4.42K OHM 1% 1/10W 0603","R47, R48, R50, R51","4",""
"Panasonic ERJ-1GNF8871C","Thick Film Resistors 0201 8.87Kohm 1% Halogen Free","R54","1",""
"Panasonic ERA-2AEB113X","GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details","R55","1",""
"Panasonic ERJ-6ENF1472V","Thick Film Resistors - SMD 0805 14.7Kohms 1% Tol","R56","1",""
"TE Connectivity CRG0603F22K1","Res Thick Film 0603 22.1K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD","R57","1",""
"TE Connectivity 2-1571999-6","Switch DIP OFF ON SPST 8 Piano 0.1A 24VDC PC Pins 2.54mm Thru-Hole Tube","SW1","1",""
"Nexperia 74HC165D,652","74HC Series 6 V 8-Bit Parallel-In/Serial Out Shift Register - SOIC-16","U1, U5, U11","3",""
"NXP Semiconductors 74HC00D,653","74HC Series 6 V High-Speed Si-Gate CMOS Quad 2-Input NAND Gate - SOIC-14","U2","1",""
"NXP Semiconductors 74HC125D,653","74HC Series 6 V Surface Mount 3-State Quad Buffer/Line Driver - SOIC-14","U3, U16","2",""
"NXP Semiconductors 74HC595D SOIC16","74HC Series 6 V 3-State 8-Bit Serial-In Serial or Parallel-Out Shift Register","U4, U6","2",""
"Texas Instruments CD74HC93M","Logic IC - Counter Texas Instruments CD74HC93M Binary counter 74HC Negative slope 35 MHz SOIC 14","U7, U10","2",""
"Nexperia 74HC139D,653","74HC Series 6V Surface Mount Dual 2-to-4 Line Decoder/Demultiplexer-SOIC-16","U8","1",""
"74HC595D SOIC16","74HC Series 6 V 3-State 8-Bit Serial-In Serial or Parallel-Out Shift Register","U9_$ChannelName","4",""
"Texas Instruments SN74HC251D","Data Selectors/Multiplexers With 3-State Outputs 16-SOIC -40 to 85","U12","1",""
"MCP4812-E/SN","10-Bit DACs with Internal VREF and SPI Interface, 8-Pin SOIC 150mil, Extended Temperature","U14, U18","2",""
"Texas Instruments SN74HC21D","AND Gate 2-Element 4-IN CMOS 14-Pin SOIC Tube","U15","1",""
"Nexperia 74LVC1T45GW,125","74LVC1T45; 74LVCH1T45 - Dual supply translating transceiver; 3-state","U17","1",""
"Texas Instruments ADS7056IRUGR","14-bit 2.5-MSPS ultra-low-power ultra-small-size SAR ADC with SPI 8-X2QFN -40 to 125","U19, U20","2",""
"Microchip MCP6004-E/SL","MCP6004 Series 6 V 1 MHz 4 Channel SMT Low-Power Operational Amplifier-SOIC-14LD","U21, U22","2",""
"MCP6001 SOT23-5","MCP6001 Series 6 V 1 MHz 0.6 V/us SMT Low-Power Operational Amplifier - SOT-23-5","U23","1",""
"Nexperia 74HC573D,653","74HC Series 5 V 3-State Octal D-Type Transparent Latch Surface Mount - SOIC-20","U40","1",""
